wall_ts,node,seq,sample_index,value
1778045172.008428,1,601,15,65535
1778045172.008428,1,601,16,65535
1778045172.008428,1,601,17,65535
1778045172.008428,1,601,18,65535
1778045172.008428,1,601,19,65535
1778045172.008428,1,601,20,65535
1778045172.008428,1,601,21,65535
1778045172.008428,1,601,22,65535
1778045172.008428,1,601,23,65535
1778045172.008428,1,601,24,65535
1778045172.008428,1,601,25,65535
1778045172.008428,1,601,26,65535
1778045172.008428,1,601,27,65535
1778045172.008428,1,601,28,65535
1778045172.008428,1,601,29,65535
1778045172.008428,1,601,30,65535
1778045172.008428,1,601,31,65535
1778045172.113316,1,602,0,65535
